328	9500	21.83	1080	C.FIJA	DIAS-F.	30	14/03/1997	1936.99	131052
329	3000	24	900	C.FIJA	DIAS-F.	30	14/03/1997	231.23	131052
334	45000	20	1800	C.FIJA	DIAS-F.	30	17/03/1997	29381.29	131052
335	30000	18	1080	C.FIJA	DIAS-F.	60	17/03/1997	8044.41	131052
337	2000	24	900	C.FIJA	DIAS-F.	30	18/03/1997	170.84	131052
353	15000	21.76	1080	C.FIJA	DIAS-F.	30	25/03/1997	898.84	131052
354	5500	21.63	1080	C.FIJA	DIAS-F.	30	25/03/1997	1540.4	131052
364	30000	18	1080	C.FIJA	DIAS-F.	60	31/03/1997	9989.52	132052
365	20000	19	3600	C.FIJA	DIAS-F.	30	31/03/1997	15809.51	131052
366	30000	18	1080	C.FIJA	DIAS-F.	60	01/04/1997	9803.04	132052
372	5000	22	1080	C.FIJA	F. FIJA	30	10/04/1997	1573.16	131052
373	10000	21	1800	C.FIJA	DIAS-F.	30	11/04/1997	6582.43	131052
374	6500	20	720	C.FIJA	DIAS-F.	30	11/04/1997	6051.5	133052
375	15500	21.75	1080	C.FIJA	DIAS-F.	30	11/04/1997	4734.46	131052
377	30000	18	1080	C.FIJA	DIAS-F.	60	14/04/1997	6654.61	131052
378	23500	15.6	3600	C.FIJA	DIAS-F.	30	15/04/1997	20785.27	131052
380	2000	24	1080	C.FIJA	DIAS-F.	30	16/04/1997	639.39	131052
383	11000	21.98	1080	C.FIJA	DIAS-F.	30	17/04/1997	3325.67	131052
385	5500	21.63	1080	C.FIJA	DIAS-F.	30	18/04/1997	1713.77	131052
386	10000	22	1800	C.FIJA	DIAS-F.	30	18/04/1997	6778.33	131052
390	8000	22	1080	C.FIJA	DIAS-F.	30	21/04/1997	2504.61	131052
392	70000	17.5	1800	C.FIJA	DIAS-F.	30	21/04/1997	45801.71	131052
395	38300	17.5	1080	C.FIJA	DIAS-F.	30	23/04/1997	11433.33	131052
397	6000	20	1080	C.FIJA	DIAS-F.	30	24/04/1997	1836.51	131052
398	11000	20	1080	C.FIJA	DIAS-F.	30	24/04/1997	2610.73	131052
408	5000	24	1080	C.FIJA	DIAS-F.	30	05/05/1997	1499.48	131052
409	15000	19.96	1080	C.FIJA	DIAS-F.	60	05/05/1997	5085.89	131052
410	10000	24	1080	C.FIJA	F. FIJA	30	05/05/1997	3471.16	131052
411	18000	21.73	1080	C.FIJA	DIAS-F.	30	05/05/1997	4061.85	131052
412	9600	21.87	1080	C.FIJA	DIAS-F.	30	06/05/1997	1725.06	131052
413	20000	18	3600	C.FIJA	F. FIJA	30	07/05/1997	17719.07	131052
415	4000	24	1080	C.FIJA	DIAS-F.	30	08/05/1997	881.01	131052
416	4000	24	1080	C.FIJA	F. FIJA	30	08/05/1997	1412.98	131052
417	7000	22	1080	C.FIJA	DIAS-F.	30	09/05/1997	933.6	132052
426	12000	20	1080	C.FIJA	DIAS-F.	30	15/05/1997	2617.56	131052
427	6000	21.63	1080	C.FIJA	DIAS-F.	30	16/05/1997	2063.07	131052
430	5570	24	1080	C.FIJA	DIAS-F.	30	16/05/1997	2479.83	132052
431	10000	20	1080	C.FIJA	DIAS-F.	30	16/05/1997	3701.6	132052
432	17500	18	1800	C.FIJA	DIAS-F.	30	16/05/1997	11719.86	131052
434	10000	18	1080	C.FIJA	DIAS-F.	30	21/05/1997	3329.26	131052
436	4000	24	1080	C.FIJA	DIAS-F.	30	21/05/1997	1405.64	131052
439	8000	19.92	1080	C.FIJA	DIAS-F.	30	21/05/1997	2693.09	131052
440	8683	24	1080	C.FIJA	DIAS-F.	30	21/05/1997	3054.23	131052
441	9000	24	720	C.FIJA	DIAS-F.	30	21/05/1997	910.77	133052
442	3000	22	1080	C.FIJA	DIAS-F.	30	22/05/1997	797.54	131052
443	4500	21.63	1080	C.FIJA	DIAS-F.	30	22/05/1997	1546.93	131052
444	2000	24	1080	C.FIJA	DIAS-F.	30	22/05/1997	695.23	131052
445	4500	24	1080	C.FIJA	DIAS-F.	30	22/05/1997	1574.76	131052
447	15000	18	1800	C.FIJA	DIAS-F.	30	22/05/1997	5408.18	131052
449	30000	20	1080	C.FIJA	DIAS-F.	30	23/05/1997	9353.41	132052
452	6000	24	1080	C.FIJA	DIAS-F.	30	23/05/1997	2089.54	131052
454	15000	20	1080	C.FIJA	DIAS-F.	60	26/05/1997	5054.65	131052
456	25000	20	1080	C.FIJA	DIAS-F.	30	26/05/1997	17717.03	133052
460	4000	21.63	1080	C.FIJA	DIAS-F.	30	28/05/1997	1379.06	131052
461	35000	18	1440	C.FIJA	DIAS-F.	60	28/05/1997	19101.42	131052
463	9000	20	1080	C.FIJA	DIAS-F.	30	30/05/1997	2385.46	131052
466	5000	20	1080	C.FIJA	DIAS-F.	30	30/05/1997	1697.48	131052
470	14000	24	720	C.FIJA	DIAS-F.	30	02/06/1997	1300.43	133052
473	17000	16.93	1440	C.FIJA	DIAS-F.	30	03/06/1997	2602.59	131052
474	18000	18	3600	C.FIJA	DIAS-F.	30	03/06/1997	16285.87	131052
475	2000	24	1080	C.FIJA	DIAS-F.	30	04/06/1997	702.09	131052
476	3000	24	1080	C.FIJA	F. FIJA	30	04/06/1997	1164.37	131052
479	7500	23.93	1080	C.FIJA	DIAS-F.	30	05/06/1997	3757.61	133052
481	30000	17	1080	C.FIJA	DIAS-F.	30	05/06/1997	20057.63	133052
482	3600	22	1080	C.FIJA	DIAS-F.	30	05/06/1997	1357.6	132052
483	5000	18	1260	C.FIJA	DIAS-F.	30	05/06/1997	2254.87	131052
484	5000	24	1080	C.FIJA	DIAS-F.	30	06/06/1997	1761.97	131052
486	28000	20	900	C.FIJA	DIAS-F.	30	06/06/1997	4559.47	131052
487	30000	19.94	900	C.FIJA	DIAS-F.	30	06/06/1997	4833.48	131052
491	5000	22	1080	C.FIJA	DIAS-F.	30	10/06/1997	2162.33	132052
492	20000	20	1080	C.FIJA	DIAS-F.	30	10/06/1997	7413.32	131052
494	4000	24	1080	C.FIJA	DIAS-F.	30	11/06/1997	1407.57	131052
495	5000	22	1080	C.FIJA	DIAS-F.	30	11/06/1997	2164.17	132052
498	40000	17	2880	C.FIJA	DIAS-F.	30	12/06/1997	33851.86	131052
500	18000	23.98	1080	C.FIJA	DIAS-F.	30	12/06/1997	6902.62	131052
503	10000	19	1080	C.FIJA	DIAS-F.	30	13/06/1997	3662.13	131052
505	25000	23.93	1080	C.FIJA	DIAS-F.	30	13/06/1997	15437.66	133052
507	20000	23.93	1080	C.FIJA	DIAS-F.	30	16/06/1997	8899.35	132052
508	24000	19.92	1080	C.FIJA	DIAS-F.	30	16/06/1997	6167.34	131052
509	1000	24	1080	C.FIJA	DIAS-F.	30	16/06/1997	382.71	131052
510	1000	24	360	C.FIJA	DIAS-F.	30	17/06/1997	183.58	133052
511	3000	22	1080	C.FIJA	DIAS-F.	30	17/06/1997	1127.71	131052
512	33000	17.5	1080	C.FIJA	DIAS-F.	30	17/06/1997	11959.99	131052
513	9000	24	720	C.FIJA	DIAS-F.	30	18/06/1997	484.84	132052
519	2500	22	1080	C.FIJA	DIAS-F.	30	20/06/1997	936.16	131052
520	8700	19.92	1080	C.FIJA	DIAS-F.	30	20/06/1997	3220.88	131052
522	12000	20	1080	C.FIJA	DIAS-F.	30	20/06/1997	4446.45	131052
528	20000	23.93	1080	C.FIJA	DIAS-F.	30	24/06/1997	8283.89	132052
532	15000	23.85	720	C.FIJA	DIAS-F.	30	26/06/1997	2284.02	133052
533	32000	17	720	C.FIJA	DIAS-F.	30	27/06/1997	4615.09	132052
534	5000	22	1080	C.FIJA	DIAS-F.	30	27/06/1997	1882.74	131052
538	10850	17	1080	C.FIJA	DIAS-F.	30	01/07/1997	3913.81	131052
539	3800	16	1080	C.FIJA	F. FIJA	30	01/07/1997	1476.25	131052
541	4000	20	1080	C.FIJA	DIAS-F.	30	02/07/1997	1481.18	131052
542	11500	24	1080	C.FIJA	DIAS-F.	30	07/07/1997	4771.21	132052
545	10000	22	1080	C.FIJA	DIAS-F.	30	07/07/1997	4074.92	132052
546	4000	24	1080	C.FIJA	DIAS-F.	30	07/07/1997	1647.1	132052
550	30000	20	1080	C.FIJA	DIAS-F.	30	08/07/1997	5613.91	131052
551	15000	18	1080	C.FIJA	DIAS-F.	30	08/07/1997	5905.89	132052
552	15000	18	720	C.FIJA	DIAS-F.	30	09/07/1997	1464.69	132052
555	8000	20	1800	C.FIJA	DIAS-F.	30	09/07/1997	5692.68	132052
557	15000	18	1080	C.FIJA	DIAS-F.	90	10/07/1997	5869.82	131052
558	25000	18	2880	C.FIJA	DIAS-F.	30	11/07/1997	21781.83	132052
559	1500	20	900	C.FIJA	DIAS-F.	30	11/07/1997	360.92	131052
562	30000	18	1080	C.FIJA	DIAS-F.	30	11/07/1997	11829.89	131052
564	30000	20	1080	C.FIJA	DIAS-F.	30	14/07/1997	12018.84	131052
565	5500	24	1080	C.FIJA	DIAS-F.	30	14/07/1997	296.91	131052
568	34000	18	3600	C.FIJA	DIAS-F.	30	15/07/1997	31060.42	131052
569	2000	24	1080	C.FIJA	DIAS-F.	30	15/07/1997	1385	133052
570	4200	22	1080	C.FIJA	DIAS-F.	30	17/07/1997	189.66	131052
571	4000	22	1080	C.FIJA	DIAS-F.	30	17/07/1997	1626.72	131052
